StartDate;EndDate;Status;Progress;Duration (in seconds);Finished;RecordedDate;ResponseId;DistributionChannel;UserLanguage;Q_RecaptchaScore;Q_RecaptchaAssessmentName;PRIVACYINFO;CONSENT;AGE;GENDER;EDUCATION;PARENT;POLITCS_PARTY;POLITICS_LEFTRIGHT;MFQ1_HARM_EMOTIONALLY_1;MFQ1_FAIRNESS_TREATED_2;MFQ1_INGROUP_LOVECOUNTRY_3;MFQ1_AUTHORITY_RESPECT_4;MFQ1_PURITY_DECENCY_5;MFQ1_LIBERTYECO_PROPERTY_6;MFQ1_MATH_7;MFQ1_HARM_WEAK_8;MFQ1_FAIRNESS_UNFAIRLY_9;MFQ1_INGROUP_BETRAY_10;MFQ1_LIBERTYLIFE_FREE_11;MFQ1_AUTHORITY_TRADITIONS_12;MFQ1_PURITY_DISGUSTING_13;MFQ1_HARM_CRUEL_14;MFQ1_FAIRNESS_RIGHTS_15;MFQ1_INGROUP_LOYALTY_16;MFQ1_AUTHORITY_CHAOS_17;MFQ1_PURITY_GOD_18;MFQ2_HARM_COMPASSION_1;MFQ2_FAIRNESS_FAIRLY_2;MFQ2_LIBERTYECO_SOCIETY_3;MFQ2_INGROUP_HISTORY_4;MFQ2_AUTHORITY_KIDRESPECT_5;MFQ2_PURITY_HARMLESSDG_6;MFQ2_GOOD_7;MFQ2_LIBERTYECO_INFER_8;MFQ2_HARM_ANIMAL_9;MFQ2_FAIRNESS_JUSTICE_10;MFQ2_INGROUP_FAMILY_11;MFQ2_LIBERTYECO_WEALTH_12;MFQ2_AUTHORITY_SEXROLES_13;MFQ2_PURITY_UNNATURAL_14;MFQ2_LIBERTYECO_COMMONGOOD_15;MFQ2_HARM_KILL_16;MFQ2_FAIRNESS_RICH_17;MFQ2_LIBERTYECO_PROPERTY_18;MFQ2_INGROUP_TEAM_19;MFQ2_LIBERTYLIFE_TRADITION_20;MFQ2_AUTHORITY_SOLDIER_21;MFQ2_PURITY_CHASTITY_22;MFQ2_LIBERTYLIFE_CHOICE_23;VCI_SAFETY_1;VCI_PARENTSRIGHT_2;VCI_OVERWHELM_3;VCI_PROTECTOTHERS_4;VCI_ALLERGIES_5;VCI_LIVINGSTANDARDS_6;VCI_DECISION_7;VCI_PHARMA_8;VCI_NOTNEEDED_9;VCI_COMPULSORY_10;VCI_CAUSEDISEASE_11;VCI_CONCEAL_12;VCI_ALTERNATIVE_13;VCI_TOXINS_14;VCI_PROTECTALL_15;VCI_NATURALLY_16;VCI_EXEMPT_17;VCI_INEFFECTIVE_18;BVIS_HEPATITISB_1;BVIS_HPV_2;BVIS_MEASELS_3;BVIS_MENINGOCOCCAL_4;BVIS_PERTUSSIS_5;BVIS_MUMPS_6;BVIS_POLIO_7;BVIS_ROTAVIRUS_8;BVIS_RUBELLA_9;BVIS_TETANUS_10;BVIS_CHICKENPOX_11;COVCI_COVIDINFECTION;COVCI_VACCINATED_2;COVCI_YES_ASAP_31;COVCI_YES_DECIDE_32;COVCI_YES_IMPORTANCE_33;COVCI_YES_FREEDECISION_34;COVCI_YES_THOUGHFUL_35;COVCI_YES_SIDEEFFECTS_36;COVCI_YES_INFECTION_37;COVCI_YES_JOBLOSS_38;COVCI_YES_DISADVANTAGE_39;COVCI_YES_TRUST_40;COVCI_YES_RECOMMENDATION_41;COVCI_YES_PROTECTME_42;COVCI_YES_PROTECTOTHERS_43;COVCI_YES_DUTY_44;COVCI_YES_CHOOSEVACCINE_45;COVCI_YES_ANYVACCINE_46;COVCI_YES_UNNATURAL_47;COVCI_YES_WAIT_48;COVCI_YES_INFORMED_49;COVCI_YES_PROTECTGENERALLY_50;COVCI_NO_CHANCE_3;COVCI_NO_INTENTION_4;COVCI_NO_ASAP_5;COVCI_NO_DECIDE_6;COVCI_NO_IMPORTANCE_7;COVCI_NO_THOUGHTFUL_8;COVCI_NO_SIDEEFFECTS_9;COVCI_NO_INFECTION_10;COVCI_NO_JOBLOSS_11;COVCI_NO_DISADVANTAGE_12;COVCI_NO_TRUST_13;COVCI_NO_ROCOMMENDATION_14;COVCI_NO_PROTECTME_15;COVCI_NO_PROTECTOTHERS_16;COVCI_NO_DUTY_17;COVCI_NO_CHOOSEVACCINE_18;COVCI_NO_ANYVACCINE_19;COVCI_NO_UNNATURAL_20;COVCI_NO_WAIT_21;COVCI_NO_INFORMED_22;COVCI_NO_PROTECTGENERALLY_23;COVCI_NO_ASTRAZENECA_24;COVCI_NO_BIONTECH_25;COVCI_NO_MODERNA_26;COVCI_NO_JOHNSON_27;COVCI_NO_SPUTNIK_28;COVCI_NO_APPOINTMENT;COVCI_OPEN_30;Q9.1 - Parent Topics;Q9.1 - Topics
17.05.21 11:24;17.05.21 11:45;0;100;1223;1;17.05.21 11:45;R_2qvYTu9ZwJrjQ4J;anonymous;DE;0,9;;;1;4;2;1;2;3;7;4;3;1;3;1;3;3;4;4;4;4;2;3;4;3;3;3;3;2;3;3;1;3;2;4;3;4;4;3;3;2;1;1;3;1;4;2;5;4;1;5;0;2;1;4;3;1;3;0;0;2;0;0;0;0;3;2;3;0;5;5;5;5;5;5;5;5;5;5;3;2;2;;;;;;;;;;;;;;;;;;;;;2;4;3;4;3;3;1;1;0;4;3;3;3;2;3;3;1;1;1;3;4;1;5;5;1;3;1;;;
17.05.21 11:39;17.05.21 11:48;0;100;510;1;17.05.21 11:48;R_1LTDDzkgVBG3Z02;anonymous;DE;0,9;;;1;4;2;2;2;2;5;4;4;0;3;3;5;0;4;4;3;5;1;2;3;2;3;0;2;4;5;4;2;3;3;4;4;3;3;3;1;1;1;2;5;5;3;3;5;5;0;4;4;3;2;0;2;3;4;3;2;0;2;3;3;3;2;4;4;3;3;5;5;5;3;5;5;4;5;5;5;2;2;;;;;;;;;;;;;;;;;;;;;2;1;1;4;2;2;2;0;0;3;1;1;3;3;1;4;0;3;3;1;1;0;5;4;0;0;2;;;
17.05.21 11:35;17.05.21 11:52;0;100;1020;1;17.05.21 11:52;R_3nu5GOFfXIGYG9Q;anonymous;DE;0,9;;;1;4;2;1;2;7;4;5;4;3;4;4;5;3;5;5;4;5;3;4;5;5;4;4;3;2;4;2;2;4;4;4;4;5;4;5;2;0;3;2;5;2;4;2;4;4;1;2;3;0;2;1;2;3;3;2;1;1;0;1;0;0;3;0;3;1;5;4;5;5;5;5;5;4;5;5;2;2;1;4;4;4;4;4;2;4;0;4;0;4;4;4;1;4;0;0;3;3;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17.05.21 11:58;17.05.21 12:23;0;100;1458;1;17.05.21 12:23;R_1dyru4ZpyLQwAlV;anonymous;DE;1;;;1;4;2;2;2;4;5;4;4;0;5;5;4;1;5;5;4;4;0;5;4;5;5;5;0;5;5;3;2;4;5;5;4;5;5;4;3;0;3;2;2;4;3;3;3;3;1;3;3;1;3;4;3;2;3;1;0;1;0;3;1;1;4;0;1;2;4;4;5;4;5;5;5;2;5;5;1;2;1;4;4;4;4;4;0;4;0;3;3;3;4;4;3;3;1;1;0;4;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17.05.21 12:24;17.05.21 12:37;0;100;815;1;17.05.21 12:37;R_22VVIlILaztudDy;anonymous;DE;0,9;;;1;4;1;1;2;4;3;5;4;0;4;3;3;0;4;5;5;3;1;4;5;5;5;3;3;4;3;2;1;3;3;5;2;3;3;4;3;1;4;4;4;5;4;4;5;0;0;4;0;2;0;4;2;2;1;0;0;1;0;0;0;0;4;1;3;0;3;5;5;4;5;5;5;4;5;5;5;1;1;1;4;4;1;4;0;3;0;3;4;4;4;4;4;2;1;0;0;4;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ich bin Pharmaziestudent :);;Unknown
17.05.21 12:29;17.05.21 12:39;0;100;646;1;17.05.21 12:39;R_3QPezkWY7JHo4k5;anonymous;DE;0,9;;1;1;4;2;1;2;7;5;3;5;2;4;1;2;0;4;3;4;4;4;4;3;4;3;3;1;4;5;4;2;4;1;5;2;3;5;3;2;4;2;2;5;2;4;3;4;4;0;3;2;3;2;3;3;2;3;3;1;2;2;3;1;2;3;1;3;3;4;4;4;4;4;4;4;4;4;4;4;2;2;;;;;;;;;;;;;;;;;;;;;2;2;1;4;1;3;3;3;0;2;2;2;1;3;3;4;3;1;4;0;3;3;5;5;2;0;3;;;
17.05.21 12:27;17.05.21 12:47;0;100;1218;1;17.05.21 12:47;R_2akHa4KDGTwbOC8;anonymous;DE;0,8;;1;1;4;2;1;2;4;3;5;3;1;1;2;3;0;3;2;3;3;0;2;3;4;2;3;0;3;5;2;0;2;2;5;1;4;4;3;3;3;3;3;5;3;2;2;5;3;1;3;1;4;1;3;2;0;3;2;0;0;1;1;0;2;4;1;4;1;5;5;5;5;4;4;5;3;5;4;3;2;1;4;4;4;4;4;1;3;0;1;4;2;4;4;3;1;1;0;1;1;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17.05.21 12:41;17.05.21 12:57;0;100;976;1;17.05.21 12:57;R_tLCrAkkayp5BT4l;anonymous;DE;1;;;1;4;2;1;2;4;4;4;3;0;1;2;4;0;4;4;4;4;0;0;4;4;3;3;0;2;4;1;1;3;2;4;3;3;3;2;2;2;1;1;5;4;1;1;5;3;0;4;2;3;1;4;2;1;3;3;0;3;0;3;0;0;4;2;3;0;3;4;5;5;5;5;5;2;5;5;0;2;2;;;;;;;;;;;;;;;;;;;;;2;4;4;3;4;3;1;4;0;1;2;2;4;4;3;4;1;0;1;3;4;1;5;5;4;1;1;;;
17.05.21 12:55;17.05.21 13:10;0;100;897;1;17.05.21 13:10;R_1mwsRKABalQsy9k;anonymous;DE;0,9;;;1;7;2;1;2;4;6;5;5;2;5;4;5;1;5;5;5;3;3;5;5;5;4;4;4;4;4;3;3;4;4;5;1;3;5;2;3;4;1;3;5;1;3;3;4;4;0;4;0;3;1;4;3;2;3;0;0;1;0;0;0;2;4;3;3;0;1;1;5;1;5;5;5;5;5;5;1;1;2;;;;;;;;;;;;;;;;;;;;;2;4;4;4;4;3;1;1;0;3;3;3;4;4;4;4;0;1;1;3;4;1;5;5;1;1;1;;;
17.05.21 10:24;17.05.21 13:12;0;100;10115;1;17.05.21 13:12;R_2ASFMBbOvnZMnaC;anonymous;DE;1;;;1;4;2;1;2;4;5;4;3;1;3;1;4;1;4;5;4;5;1;2;4;4;3;3;0;3;5;0;1;3;2;4;4;4;4;0;3;5;1;1;2;2;4;2;5;2;1;5;2;4;2;4;2;2;3;0;0;1;0;0;0;0;4;0;4;0;5;5;5;5;5;5;5;4;5;5;5;2;1;1;4;4;4;4;1;4;0;1;3;3;4;4;1;4;0;0;3;3;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17.05.21 13:22;17.05.21 13:37;0;100;927;1;17.05.21 13:37;R_5mRJ3fSMMvvlwzf;anonymous;DE;0,7;;;1;4;2;1;2;4;5;4;4;2;2;3;4;1;5;4;4;4;2;1;4;3;3;3;1;4;3;4;1;3;5;4;2;3;3;3;0;4;0;4;5;3;2;5;3;2;1;5;2;2;0;2;0;1;2;3;0;3;1;0;0;3;3;3;2;0;4;4;5;4;3;3;3;2;5;5;5;2;1;3;4;4;4;3;2;4;0;0;3;3;3;4;3;4;1;0;3;1;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17.05.21 13:58;17.05.21 14:10;0;100;702;1;17.05.21 14:10;R_TjCMndjxQABV97j;anonymous;DE;1;;;1;4;2;2;2;2;4;3;4;2;2;3;4;0;3;3;4;5;0;0;4;4;2;1;0;1;4;4;4;4;0;5;4;1;3;2;1;0;0;1;5;2;4;2;5;4;0;5;3;4;1;0;1;3;4;3;0;0;1;2;3;4;4;0;4;3;2;2;4;2;2;2;2;2;3;3;1;2;1;3;4;1;4;4;1;1;0;4;2;2;1;1;1;4;1;3;4;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18.05.21 00:00;18.05.21 00:32;0;100;1897;1;18.05.21 00:32;R_1DoNGQ5izTnB5Qp;anonymous;DE;1;;;1;8;1;1;1;4;5;5;0;0;0;0;5;0;5;5;5;4;4;5;5;3;5;3;3;0;5;5;4;3;5;5;5;5;5;1;2;0;0;4;5;4;0;1;4;4;4;5;1;3;0;3;3;1;4;0;0;1;0;1;2;0;3;1;3;1;4;1;4;4;4;4;5;4;4;5;4;2;1;4;4;4;4;4;1;4;0;0;1;1;4;4;0;4;4;1;1;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18.05.21 01:59;18.05.21 02:34;0;100;2077;1;18.05.21 02:34;R_DIDq52pBYM3ZPZn;anonymous;DE;1;;;1;5;2;2;1;4;3;5;5;0;3;4;2;0;5;4;4;4;3;5;5;4;3;3;0;5;5;2;1;4;5;5;2;5;3;1;4;4;5;3;4;1;3;1;4;4;1;4;0;2;0;4;3;0;3;1;0;1;0;0;0;0;4;0;2;0;5;4;5;5;5;5;5;4;5;5;4;1;2;;;;;;;;;;;;;;;;;;;;;2;4;4;4;4;4;1;3;0;3;3;3;4;4;4;4;1;0;1;3;4;1;5;5;4;3;2;;;
18.05.21 07:49;18.05.21 08:03;0;100;826;1;18.05.21 08:03;R_3NLqicvQcA9qj2m;anonymous;DE;1;;;1;4;2;1;2;5;4;4;4;1;2;2;4;0;4;4;4;4;1;1;4;4;3;2;1;2;4;3;1;4;1;4;2;3;4;3;2;3;2;2;5;3;3;3;4;2;2;4;1;4;2;3;2;1;4;1;0;1;0;1;2;1;3;2;4;0;5;5;5;5;5;5;5;4;5;5;3;2;2;;;;;;;;;;;;;;;;;;;;;2;3;3;4;3;3;1;2;0;3;3;2;3;3;1;3;3;1;2;3;3;4;5;5;4;3;2;;;
18.05.21 09:45;18.05.21 10:14;0;100;1721;1;18.05.21 10:14;R_1IZrjsfx1ezqGwk;anonymous;DE;1;;;1;4;2;1;2;4;3;4;4;0;3;3;4;0;4;5;5;4;1;3;4;4;4;3;0;3;5;3;1;4;1;5;1;2;4;2;3;4;1;3;4;2;3;3;5;1;1;5;1;1;1;4;3;0;2;1;0;3;0;0;0;0;4;1;3;0;5;4;5;5;5;5;5;5;5;5;3;2;1;4;3;4;3;4;1;3;0;2;4;4;3;4;3;1;3;0;0;3;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18.05.21 14:32;18.05.21 14:45;0;100;762;1;18.05.21 14:45;R_1r8LVY8cHGQiSWY;anonymous;DE;1;;;1;4;2;1;2;6;2;5;4;3;1;1;3;0;5;5;5;4;3;4;5;3;5;1;0;2;5;2;0;1;1;3;1;3;5;3;1;5;0;1;5;4;1;1;4;1;0;5;2;4;0;3;2;0;4;2;0;0;0;2;0;0;4;2;4;1;5;5;5;5;5;5;5;5;5;5;4;2;1;4;4;4;4;3;0;4;0;0;3;1;4;4;2;1;1;0;0;0;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18.05.21 14:41;18.05.21 15:01;0;100;1188;1;18.05.21 15:01;R_r0zSAds8HGrG5Pz;anonymous;DE;0,9;;;1;4;2;1;2;2;5;4;5;3;3;4;5;0;5;5;5;4;2;2;5;5;3;4;0;4;5;5;2;5;2;5;5;5;5;3;3;2;4;3;2;2;3;2;4;3;2;5;3;3;3;4;4;0;4;3;1;0;2;3;0;3;4;2;4;3;3;4;5;5;5;5;5;3;5;5;5;2;1;3;4;3;4;3;2;3;0;4;3;2;3;4;2;2;0;2;4;1;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19.05.21 01:09;19.05.21 01:16;0;100;396;1;19.05.21 01:16;R_XGnA2IeMdy5ljz3;anonymous;DE;1;;;1;4;2;1;2;6;2;4;5;0;1;2;2;0;5;5;3;4;0;2;4;5;1;2;0;4;5;3;0;2;1;5;2;4;5;1;2;3;1;3;5;3;3;4;3;0;0;5;0;3;0;4;0;2;3;0;0;2;0;0;1;0;4;1;3;0;4;5;5;5;5;5;5;3;5;5;3;2;2;;;;;;;;;;;;;;;;;;;;;2;4;2;3;4;4;1;2;3;3;4;4;3;4;4;2;4;0;0;3;4;4;5;5;5;4;1;;;
19.05.21 03:09;19.05.21 03:25;0;100;959;1;19.05.21 03:25;R_31a2R4u14LGGKyp;anonymous;DE;1;;;1;7;2;2;2;4;3;5;5;0;4;4;4;1;4;4;5;4;4;5;5;5;4;4;2;5;5;3;2;5;5;5;0;5;5;3;2;3;2;3;5;3;2;2;4;2;0;4;1;0;0;3;0;0;0;1;0;3;0;0;0;0;4;1;3;0;5;5;5;5;5;5;5;5;5;5;5;2;1;4;4;4;3;3;1;0;0;0;3;3;4;3;3;3;4;0;3;3;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12.05.21 06:26;12.05.21 06:26;0;17;25;0;19.05.21 06:26;R_3ER8dwWXos8dQrw;anonymous;DE;0,9;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
